County,State,Pov_Num_All,Pov_Pct_All,Median_Income,Crime_Rate_per_100000,Murder,Rape,Robbery,Aggravated_Assault,Burglary,Larceny,Vehicle_Theft,Arson,Population,Mean_Rent,Median_Rent
Kent County,DE,23947.0,14.2,55678.0,123.6101433,3.0,36.0,38.0,127.0,693.0,2803.0,196.0,31.0,165035.0,0.0,0.0
New Castle County,DE,65503.0,12.1,66179.0,581.7888096,46.0,130.0,1167.0,1855.0,4310.0,12637.0,1015.0,22.0,549684.0,918.0,914.0
Sussex County,DE,26205.0,12.3,54309.0,57.53739931,5.0,9.0,22.0,48.0,416.0,1356.0,35.0,3.0,145992.0,819.0,828.0
District of Columbia,DC,113185.0,17.7,73115.0,1216.801325,88.0,236.0,4037.0,3505.0,3519.0,23575.0,3663.0,51.0,646449.0,980.0,1007.0
Alachua County,FL,52258.0,21.1,47023.0,605.2451953,10.0,138.0,253.0,1133.0,1917.0,6331.0,357.0,25.0,253451.0,656.0,589.0
Baker County,FL,4189.0,16.8,50883.0,6.242976651,0.0,0.0,1.0,0.0,20.0,53.0,3.0,0.0,16018.0,845.0,743.0
Bay County,FL,29301.0,16.5,47745.0,302.343867,1.0,69.0,41.0,212.0,453.0,1573.0,89.0,15.0,106832.0,830.0,831.0
Bradford County,FL,5013.0,21.3,40879.0,146.0299121,0.0,25.0,5.0,61.0,284.0,880.0,55.0,15.0,62316.0,832.0,843.0
Brevard County,FL,75268.0,13.4,50352.0,537.9223453,30.0,199.0,505.0,2229.0,3945.0,11867.0,847.0,64.0,550823.0,1406.0,1284.0
Broward County,FL,263607.0,14.0,53624.0,470.9480521,80.0,401.0,3408.0,4771.0,17400.0,45279.0,4320.0,180.0,1838844.0,1250.0,1263.0
Calhoun County,FL,2781.0,22.2,36062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5059.0,992.0,1030.0
Charlotte County,FL,20980.0,12.4,45495.0,170.6623324,1.0,4.0,3.0,13.0,48.0,85.0,1.0,2.0,12305.0,551.0,537.0
Citrus County,FL,24249.0,17.5,39982.0,323.8290814,5.0,26.0,57.0,363.0,737.0,1971.0,129.0,16.0,139271.0,1102.0,942.0
Clay County,FL,23388.0,11.6,59244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6392.0,605.0,566.0
Collier County,FL,48198.0,13.6,62385.0,244.0805319,6.0,41.0,151.0,631.0,1356.0,3932.0,243.0,16.0,339642.0,1249.0,1263.0
Columbia County,FL,12413.0,19.7,43303.0,56.8618184,1.0,12.0,22.0,42.0,451.0,2035.0,110.0,11.0,135416.0,724.0,735.0
DeSoto County,FL,9821.0,30.5,34380.0,150.9747979,2.0,43.0,57.0,152.0,932.0,2498.0,141.0,11.0,168240.0,1007.0,951.0
Duval County,FL,142660.0,16.0,49565.0,621.5464156,94.0,355.0,1436.0,3621.0,8025.0,27335.0,1712.0,96.0,885855.0,1391.0,1147.0
Escambia County,FL,44835.0,15.4,45735.0,618.6978385,3.0,7.0,18.0,207.0,299.0,793.0,62.0,14.0,37983.0,802.0,795.0
Flagler County,FL,12213.0,11.7,50347.0,257.1131298,1.0,8.0,38.0,210.0,436.0,1432.0,74.0,6.0,99956.0,0.0,0.0
Franklin County,FL,2351.0,23.7,38220.0,32.41491086,1.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,3085.0,719.0,751.0
